,GAME_DATE,Player_Name,MATCHUP,PTS_PROP,REB_PROP,AST_PROP,BLK_PROP,STL_PROP,3PTS_PROP,PRA_PROP,PR_PROP,PA_PROP,RA_PROP,Player_ID,SEASON_ID
0,2022-02-05,Bobby Portis Jr.,MIL @ POR,13.5,7.5,0.5,0.5,0.5,1.5,,,,,,22021
1,2022-02-05,Immanuel Quickley,NYK @ LAL,8.5,,2.5,0.5,0.5,1.5,,,,,1630193.0,22021
2,2022-02-05,Grayson Allen,MIL @ POR,10.5,3.5,1.5,0.5,0.5,1.5,,,,,1628960.0,22021
3,2022-02-05,Jaren Jackson Jr.,MEM @ ORL,16.5,6.5,0.5,2.5,0.5,,,,,,1628991.0,22021
4,2022-02-05,Jimmy Butler,MIA @ CHA,21.5,7.5,5.5,,1.5,,,,,,202710.0,22021
5,2022-02-05,Jrue Holiday,MIL @ POR,16.5,4.5,6.5,,,1.5,,,,,201950.0,22021
6,2022-02-05,Tyrese Haliburton,SAC vs. OKC,17.5,4.5,9.5,0.5,1.5,,,,,,1630169.0,22021
7,2022-02-05,Malik Monk,LAL vs. NYK,17.5,4.5,3.5,,0.5,3.5,,,,,1628370.0,22021
8,2022-02-05,Duncan Robinson,MIA @ CHA,13.5,2.5,1.5,0.5,,3.5,,,,,1629130.0,22021
9,2022-02-05,Josh Giddey,OKC @ SAC,16.5,7.5,7.5,,0.5,1.5,,,,,1630581.0,22021
10,2022-02-05,Miles Bridges,CHA vs. MIA,18.5,6.5,3.5,0.5,0.5,1.5,,,,,1628970.0,22021
11,2022-02-05,Avery Bradley,LAL vs. NYK,5.5,1.5,0.5,0.5,0.5,1.5,,,,,202340.0,22021
12,2022-02-05,Julius Randle,NYK @ LAL,18.5,9.5,4.5,,0.5,1.5,,,,,203944.0,22021
13,2022-02-05,Khris Middleton,MIL @ POR,19.5,5.5,4.5,0.5,0.5,2.5,,,,,203114.0,22021
14,2022-02-05,Kelly Oubre Jr.,CHA vs. MIA,15.5,,0.5,,0.5,2.5,,,,,1626162.0,22021
15,2022-02-05,Chris Paul,PHO @ WAS,16.5,4.5,12.5,0.5,1.5,1.5,,,,,101108.0,22021
16,2022-02-05,P.J. Tucker,MIA @ CHA,8.5,5.5,1.5,0.5,0.5,,,,,,200782.0,22021
17,2022-02-05,Kyle Kuzma,WAS vs. PHO,19.5,,3.5,0.5,0.5,1.5,,,,,1628398.0,22021
18,2022-02-05,Jusuf Nurkic,POR vs. MIL,15.5,11.5,2.5,0.5,1.5,,,,,,203994.0,22021
19,2022-02-05,Thomas Bryant,WAS vs. PHO,9.5,,0.5,,,,,,,,1628418.0,22021
20,2022-02-05,Corey Kispert,WAS vs. PHO,7.5,2.5,,0.5,0.5,,,,,,1630557.0,22021
21,2022-02-05,Pat Connaughton,MIL @ POR,7.5,3.5,0.5,0.5,0.5,,,,,,1626192.0,22021
22,2022-02-05,CJ McCollum,POR vs. MIL,20.5,,3.5,,0.5,3.5,,,,,203468.0,22021
23,2022-02-05,Kyle Lowry,MIA @ CHA,11.5,3.5,6.5,0.5,0.5,1.5,,,,,200768.0,22021
24,2022-02-05,Desmond Bane,MEM @ ORL,20.5,4.5,2.5,,1.5,2.5,,,,,1630217.0,22021
25,2022-02-05,Steven Adams,MEM @ ORL,6.5,9.5,3.5,0.5,1.5,,,,,,203500.0,22021
26,2022-02-05,Jae Crowder,PHO @ WAS,8.5,4.5,1.5,,0.5,1.5,,,,,203109.0,22021
27,2022-02-05,Ja Morant,MEM @ ORL,,5.5,6.5,,,,,,,,1629630.0,22021
28,2022-02-05,Deni Avdija,WAS vs. PHO,8.5,4.5,1.5,,0.5,,,,,,1630166.0,22021
29,2022-02-05,Devin Booker,PHO @ WAS,28.5,4.5,3.5,0.5,0.5,2.5,,,,,1626164.0,22021
30,2022-02-05,Bam Adebayo,MIA @ CHA,18.5,11.5,,0.5,1.5,,,,,,1628389.0,22021
31,2022-02-05,Terrence Ross,ORL vs. MEM,8.5,2.5,1.5,0.5,,,,,,,203082.0,22021
32,2022-02-05,Mason Plumlee,CHA vs. MIA,6.5,8.5,2.5,0.5,0.5,,,,,,203486.0,22021
33,2022-02-05,Darius Bazley,OKC @ SAC,13.5,7.5,,0.5,0.5,1.5,,,,,1629647.0,22021
34,2022-02-05,Russell Westbrook III,LAL vs. NYK,,7.5,6.5,0.5,1.5,1.5,,,,,,22021
